Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
18,Решения записываю и проверяю логику.,"Решения принимаю быстро, ориентируясь на живой отклик.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
19,"В конфликте отсоединяю эмоции, чтобы увидеть сути.","В конфликте эмоциональная сторона для меня важна, её нельзя игнорировать.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
20,"Если аргументы сильные, меняю мнение даже без симпатии к идее.","Даже при сильных аргументах важно, чтобы идея «откликалась внутри».",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
82,Решение не требует эмоций — только расчёта.,"Иногда правильнее довериться чутью, чем цифрам.",C2,Зеркальная,для оценки ψ (устойчивость),Рациональность,Эмоциональность
21,"Я сверяюсь с правилами и традициями, прежде чем менять подход.","Готов идти своим путём, даже если принято иначе.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
22,"Компании легче, когда участники подстраиваются — я это учитываю.",Ценю самостоятельность мнения выше удобства для компании.,C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
23,"Если большинство решило, мне проще поддержать их выбор.","Если уверен в позиции, остаюсь при своём даже против большинства.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
24,"На собраниях я осторожно выражаю несогласие, чтобы не ломать ход.","На собраниях открыто обозначаю несогласие, даже если это сбивает темп.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
25,"Сначала узнаю, как принято, и действую в этом русле.","Сначала уточняю цель, а «как принято» — не главный ориентир.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
26,Санкции/поощрения группы для меня значимы при выборе действий.,"Внешние оценки не так важны, как внутренние основания.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
27,"Я предпочитаю компромиссы, если это облегчает взаимодействие.","Я предпочитаю прямоту, даже если это создаёт напряжение.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
28,"Если руководитель настаивает, я выполню, даже сомневаясь.","Если сомневаюсь, обозначу это и предложу альтернативу.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
29,Формальные договорённости важнее личного взгляда.,Личный взгляд важнее формальных рамок.,C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
30,"Мне комфортно быть «как все», если это упрощает жизнь.","Мне комфортно выделяться, если так честно по отношению к цели.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
83,"Если команда решила, я не стану спорить.","Если вижу риск ошибки, не соглашусь, даже если все «за».",C3,Зеркальная,для оценки ψ (устойчивость),Конформизм,Независимость
31,"При резких нападках я отвечаю жёстко, чтобы поставить границу.",При резких нападках я сохраняю спокойствие и переношу разговор в конструктив.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
32,В споре мне проще усилить позицию давлением.,В споре мне проще смягчить тон и искать формулировки общих точек.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
33,"Если вижу откровенное нарушение, действую резко и сразу.","Если вижу нарушение, сначала уточняю детали и предлагаю исправить.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
34,"Когда злость поднимается, я позволяю ей звучать напрямую.","Когда злость поднимается, я выдерживаю паузу, прежде чем говорить.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
35,В переговорах я намеренно держу жёсткую линию.,"В переговорах я намеренно держу мягкую, но настойчивую линию.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
36,"Мне проще поставить человека на место, чем терпеть.",Мне проще спокойно обозначить границы и удержать их.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
37,"Если меня перебивают, я перебиваю в ответ.","Если меня перебивают, прошу договорить без обострения.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
38,Сила — лучший аргумент в конфликтной обстановке.,Чёткие правила и уважительный тон — лучший аргумент.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
39,"Острые слова иногда лучше, чем долгая дипломатия.","Дипломатия лучше острых слов, даже если дольше.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
40,При усталости я срываюсь чаще и не считаю это проблемой.,"При усталости я стараюсь сдержаться сильнее, чем обычно.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
84,В конфликте лучше говорить мягко.,"В конфликте лучше повысить тон, чтобы на меня обратили внимание.",C4,Зеркальная,для оценки ψ (устойчивость),Агрессия,Мягкость
41,"Если решение не срочное, я предпочитаю подумать ещё раз.","Если решение не срочное, всё равно принимаю его быстро, чтобы двигаться.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
42,Мне привычно начинать с минимального шага и обратной связи.,Мне привычно делать смелый шаг и корректировать на ходу.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
43,Я предпочитаю планы с запасом по времени и ресурсам.,Я предпочитаю планы с вызовом — это даёт энергию.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
44,Риск оцениваю заранее и снижаю по возможности.,Риск принимаю как часть движения; не трачу много времени на его оценку.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
45,Сначала тест на небольшом участке — потом масштаб.,Сначала масштаб — потом приводим в порядок детали.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
46,При сомнениях я откладываю действие до ясности.,При сомнениях я действую и разбираюсь по ходу.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
47,"Если не хватает информации, иду искать факты.","Если не хватает информации, полагаюсь на опыт и интуицию.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
48,Люблю чек-листы и контрольные точки.,Люблю эффект неожиданности и движение без лишних рамок.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
49,"Предпочитаю стабильный темп, чем рывки.","Предпочитаю рывки, чем монотонный темп.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
50,"Ошибки лучше предупреждать, чем героически исправлять.",Ошибки лучше проживать быстро и извлекать из них энергию.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
85,"Лучше шаг за шагом, чем рывками.","Лучше быстрое действие, чем долгие раздумья.",C5,Зеркальная,для оценки ψ (устойчивость),Осторожность,Импульсивность
51,"Если обещал — выполняю, даже если неудобно.","Если обстоятельства изменились, от обещаний можно отойти без объяснений.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
52,Правила честности важны и в мелочах.,Правила — инструмент; иногда их обход рациональнее.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
53,"Предпочту неприятную правду, чем удобную неправду.",Иногда удобная неправда полезнее прямоты.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
54,"Если моя ошибка задела других, я предупреждаю и исправляю.","Если ошибка незаметна, не вижу смысла поднимать тему.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
55,Публичная заслуга должна соответствовать реальному вкладу.,Кто как представил — тот и молодец; результат важнее формальностей.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
56,Конфликт интересов лучше раскрыть заранее.,"Конфликт интересов можно не раскрывать, если никто не спросил.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
57,"Если взял чужую идею, укажу источник.","Идеи «в воздухе»; важно, кто быстрее реализует.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
58,Я не пользуюсь чужими слабостями для выгоды.,Возможности есть возможности — мораль вторична.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
59,Обещания и договорённости держат систему в порядке.,"Гибкость важнее договорённостей, если можно выиграть.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
60,Границы другого — не поле для экспериментов.,"Если человек не защитил границы, значит, не ценит их.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
61,Мне интересно пробовать новые форматы и способы.,Предпочитаю привычные форматы: проверено — значит надёжно.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
62,Я быстро втягиваюсь в незнакомые темы.,Мне комфортнее оставаться в знакомых темах.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
63,"Когда появляется новое, я первым делом тестирую его на практике.","Когда появляется новое, выжидаю, пока уляжется и станет понятнее.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
64,"Люди с иным взглядом меня скорее увлекают, чем настораживают.","Люди с иным взглядом меня скорее настораживают, чем увлекают.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
65,Мне нравится менять обстановку и маршруты.,Люблю стабильность и знакомые тропы.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
66,К новому опыту я отношусь с любопытством.,К новому опыту я отношусь с осторожностью.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
67,Я быстро учусь на незнакомых инструментах.,"Я предпочитаю совершенствовать то, что уже знаю.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
68,"Если идея свежая, я готов выделить время на эксперимент.","Если идея свежая, пусть дозреет — потом вернёмся.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
69,Новые люди — это возможность для роста.,Новые люди — это нагрузка на внимание и силы.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
70,Переучиваться — нормально; это цена развития.,"Переучиваться — лишняя трата ресурсов, если старое работает.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
86,Охотно проявляю экстраверсия в общении.,Предпочитаю интроверсия и держусь в стороне.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
87,"Получаю энергию, опираясь на экстраверсия.","Комфортнее, когда могу проявить интроверсия.",C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
88,В команде ценят моё экстраверсия.,В команде чаще проявляю интроверсия.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
89,При дедлайнах меня выручает экстраверсия.,При дедлайнах сильнее проявляется интроверсия.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
90,В неопределённости помогает экстраверсия.,В неопределённости у меня преобладает интроверсия.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
91,"Принимая решения, стараюсь демонстрировать экстраверсия.","Принимая решения, чаще опираюсь на интроверсия.",C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
92,В конфликтах удерживаю экстраверсия.,В конфликтах мною руководит интроверсия.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
93,В долгих проектах меня держит экстраверсия.,В долгих проектах проявляется интроверсия.,C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
94,"Считаю, что экстраверсия помогает результату.","Считаю, что интроверсия снижает лишние риски.",C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
95,Сознательно развиваю экстраверсия как навык.,"Стараюсь умерять интроверсия, если это мешает.",C8,Основная,FBM 3.0: автогенерировано (10 пар на константу),Экстраверсия,Интроверсия
296,"Даже когда это уместно, редко выбираю экстраверсия; чаще полагаюсь на интроверсия.","Даже под давлением стараюсь придерживаться экстраверсия, а не интроверсия.",C8,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Экстраверсия,Интроверсия
96,Охотно проявляю добросовестность в общении.,Предпочитаю разболтанность и держусь в стороне.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
97,"Получаю энергию, опираясь на добросовестность.","Комфортнее, когда могу проявить разболтанность.",C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
98,В команде ценят моё добросовестность.,В команде чаще проявляю разболтанность.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
99,При дедлайнах меня выручает добросовестность.,При дедлайнах сильнее проявляется разболтанность.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
100,В неопределённости помогает добросовестность.,В неопределённости у меня преобладает разболтанность.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
101,"Принимая решения, стараюсь демонстрировать добросовестность.","Принимая решения, чаще опираюсь на разболтанность.",C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
102,В конфликтах удерживаю добросовестность.,В конфликтах мною руководит разболтанность.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
103,В долгих проектах меня держит добросовестность.,В долгих проектах проявляется разболтанность.,C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
104,"Считаю, что добросовестность помогает результату.","Считаю, что разболтанность снижает лишние риски.",C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
105,Сознательно развиваю добросовестность как навык.,"Стараюсь умерять разболтанность, если это мешает.",C9,Основная,FBM 3.0: автогенерировано (10 пар на константу),Добросовестность,Разболтанность
297,"Даже когда это уместно, редко выбираю добросовестность; чаще полагаюсь на разболтанность.","Даже под давлением стараюсь придерживаться добросовестность, а не разболтанность.",C9,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Добросовестность,Разболтанность
106,Охотно проявляю эмоциональная стабильность в общении.,Предпочитаю невротичность и держусь в стороне.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
107,"Получаю энергию, опираясь на эмоциональная стабильность.","Комфортнее, когда могу проявить невротичность.",C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
108,В команде ценят моё эмоциональная стабильность.,В команде чаще проявляю невротичность.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
109,При дедлайнах меня выручает эмоциональная стабильность.,При дедлайнах сильнее проявляется невротичность.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
110,В неопределённости помогает эмоциональная стабильность.,В неопределённости у меня преобладает невротичность.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
111,"Принимая решения, стараюсь демонстрировать эмоциональная стабильность.","Принимая решения, чаще опираюсь на невротичность.",C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
112,В конфликтах удерживаю эмоциональная стабильность.,В конфликтах мною руководит невротичность.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
113,В долгих проектах меня держит эмоциональная стабильность.,В долгих проектах проявляется невротичность.,C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
114,"Считаю, что эмоциональная стабильность помогает результату.","Считаю, что невротичность снижает лишние риски.",C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
115,Сознательно развиваю эмоциональная стабильность как навык.,"Стараюсь умерять невротичность, если это мешает.",C10,Основная,FBM 3.0: автогенерировано (10 пар на константу),Эмоциональная стабильность,Невротичность
298,"Даже когда это уместно, редко выбираю эмоциональная стабильность; чаще полагаюсь на невротичность.","Даже под давлением стараюсь придерживаться эмоциональная стабильность, а не невротичность.",C10,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Эмоциональная стабильность,Невротичность
116,Охотно проявляю доверие в общении.,Предпочитаю подозрительность и держусь в стороне.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
117,"Получаю энергию, опираясь на доверие.","Комфортнее, когда могу проявить подозрительность.",C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
118,В команде ценят моё доверие.,В команде чаще проявляю подозрительность.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
119,При дедлайнах меня выручает доверие.,При дедлайнах сильнее проявляется подозрительность.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
120,В неопределённости помогает доверие.,В неопределённости у меня преобладает подозрительность.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
121,"Принимая решения, стараюсь демонстрировать доверие.","Принимая решения, чаще опираюсь на подозрительность.",C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
122,В конфликтах удерживаю доверие.,В конфликтах мною руководит подозрительность.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
123,В долгих проектах меня держит доверие.,В долгих проектах проявляется подозрительность.,C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
124,"Считаю, что доверие помогает результату.","Считаю, что подозрительность снижает лишние риски.",C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
125,Сознательно развиваю доверие как навык.,"Стараюсь умерять подозрительность, если это мешает.",C11,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доверие,Подозрительность
299,"Даже когда это уместно, редко выбираю доверие; чаще полагаюсь на подозрительность.","Даже под давлением стараюсь придерживаться доверие, а не подозрительность.",C11,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Доверие,Подозрительность
126,Охотно проявляю скромность в общении.,Предпочитаю нарциссизм и держусь в стороне.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
127,"Получаю энергию, опираясь на скромность.","Комфортнее, когда могу проявить нарциссизм.",C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
128,В команде ценят моё скромность.,В команде чаще проявляю нарциссизм.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
129,При дедлайнах меня выручает скромность.,При дедлайнах сильнее проявляется нарциссизм.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
130,В неопределённости помогает скромность.,В неопределённости у меня преобладает нарциссизм.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
131,"Принимая решения, стараюсь демонстрировать скромность.","Принимая решения, чаще опираюсь на нарциссизм.",C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
132,В конфликтах удерживаю скромность.,В конфликтах мною руководит нарциссизм.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
133,В долгих проектах меня держит скромность.,В долгих проектах проявляется нарциссизм.,C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
134,"Считаю, что скромность помогает результату.","Считаю, что нарциссизм снижает лишние риски.",C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
135,Сознательно развиваю скромность как навык.,"Стараюсь умерять нарциссизм, если это мешает.",C12,Основная,FBM 3.0: автогенерировано (10 пар на константу),Скромность,Нарциссизм
300,"Даже когда это уместно, редко выбираю скромность; чаще полагаюсь на нарциссизм.","Даже под давлением стараюсь придерживаться скромность, а не нарциссизм.",C12,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Скромность,Нарциссизм
136,Охотно проявляю сочувствие в общении.,Предпочитаю алекситимия и держусь в стороне.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
137,"Получаю энергию, опираясь на сочувствие.","Комфортнее, когда могу проявить алекситимия.",C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
138,В команде ценят моё сочувствие.,В команде чаще проявляю алекситимия.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
139,При дедлайнах меня выручает сочувствие.,При дедлайнах сильнее проявляется алекситимия.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
140,В неопределённости помогает сочувствие.,В неопределённости у меня преобладает алекситимия.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
141,"Принимая решения, стараюсь демонстрировать сочувствие.","Принимая решения, чаще опираюсь на алекситимия.",C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
142,В конфликтах удерживаю сочувствие.,В конфликтах мною руководит алекситимия.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
143,В долгих проектах меня держит сочувствие.,В долгих проектах проявляется алекситимия.,C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
144,"Считаю, что сочувствие помогает результату.","Считаю, что алекситимия снижает лишние риски.",C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
145,Сознательно развиваю сочувствие как навык.,"Стараюсь умерять алекситимия, если это мешает.",C13,Основная,FBM 3.0: автогенерировано (10 пар на константу),Сочувствие,Алекситимия
301,"Даже когда это уместно, редко выбираю сочувствие; чаще полагаюсь на алекситимия.","Даже под давлением стараюсь придерживаться сочувствие, а не алекситимия.",C13,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Сочувствие,Алекситимия
146,Охотно проявляю рефлексивность в общении.,Предпочитаю импульс-действие и держусь в стороне.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
147,"Получаю энергию, опираясь на рефлексивность.","Комфортнее, когда могу проявить импульс-действие.",C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
148,В команде ценят моё рефлексивность.,В команде чаще проявляю импульс-действие.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
149,При дедлайнах меня выручает рефлексивность.,При дедлайнах сильнее проявляется импульс-действие.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
150,В неопределённости помогает рефлексивность.,В неопределённости у меня преобладает импульс-действие.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
151,"Принимая решения, стараюсь демонстрировать рефлексивность.","Принимая решения, чаще опираюсь на импульс-действие.",C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
152,В конфликтах удерживаю рефлексивность.,В конфликтах мною руководит импульс-действие.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
153,В долгих проектах меня держит рефлексивность.,В долгих проектах проявляется импульс-действие.,C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
154,"Считаю, что рефлексивность помогает результату.","Считаю, что импульс-действие снижает лишние риски.",C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
155,Сознательно развиваю рефлексивность как навык.,"Стараюсь умерять импульс-действие, если это мешает.",C14,Основная,FBM 3.0: автогенерировано (10 пар на константу),Рефлексивность,Импульс-действие
302,"Даже когда это уместно, редко выбираю рефлексивность; чаще полагаюсь на импульс-действие.","Даже под давлением стараюсь придерживаться рефлексивность, а не импульс-действие.",C14,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Рефлексивность,Импульс-действие
156,Охотно проявляю риск-поиск в общении.,Предпочитаю риск-избегание и держусь в стороне.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
157,"Получаю энергию, опираясь на риск-поиск.","Комфортнее, когда могу проявить риск-избегание.",C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
158,В команде ценят моё риск-поиск.,В команде чаще проявляю риск-избегание.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
159,При дедлайнах меня выручает риск-поиск.,При дедлайнах сильнее проявляется риск-избегание.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
160,В неопределённости помогает риск-поиск.,В неопределённости у меня преобладает риск-избегание.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
161,"Принимая решения, стараюсь демонстрировать риск-поиск.","Принимая решения, чаще опираюсь на риск-избегание.",C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
162,В конфликтах удерживаю риск-поиск.,В конфликтах мною руководит риск-избегание.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
